Brand;Device name;DC;Address;Floor;Unit number;Room
airly;115452;1;Calle Estrella 4-6;;6.6;balcony
airly;115537;2;Bronckhost;;;on the roof ?
airly;115538;2;Emmaus;;;on the roof ?
airly;115548;3;VVV Social Shelter;;;on the roof ?
airly;116481;2;;;;
airthings;Airthings - 1;1;Calle Estrella 4;1;4.1;living room
airthings;Airthings - 2;1;Calle Estrella 4;1;4.1;master bedroom
airthings;Airthings - 3;1;Calle Estrella 4;1;4.1;kitchen
airthings;Airtings - 4;1;Calle Estrella 6;1;6.1;living room
airthings;Airthings - 5;1;Calle Estrella 6;1;6.1;master bedroom
airthings;Airthings - 6;1;Calle Estrella 6;1;6.1;kitchen
airthings;Airthings - 7;1;Calle Estrella 4;2;4.4;living room
airthings;Airthings - 8;1;Calle Estrella 4;2;4.4;master bedroom
airthings;Airthings - 9;1;Calle Estrella 4;2;4.4;kitchen
airthings;Airthings - 10;1;Calle Estrella 6;2;6.3;living room
airthings;Airthings - 11;1;Calle Estrella 6;2;6.3;master bedroom
airthings;Airthings - 12;1;Calle Estrella 6;2;6.3;kitchen
airthings;Airthings - 13;1;Calle Estrella 4;3;4.5;living room
airthings;Airthings - 14;1;Calle Estrella 4;3;4.5;master bedroom
airthings;Airthings - 15;1;Calle Estrella 4;3;4.5;kitchen
airthings;Airthings - 16;1;Calle Estrella 6;3;6.5;living room
airthings;Airthings - 17;1;Calle Estrella 6;3;6.5;master bedroom
airthings;Airthings - 18;1;Calle Estrella 6;3;6.5;kitchen
airthings;Airthings - 21;1;Calle Estrella 6;3;6.6;kitchen
airthings;Airthings - 22;1;Calle Estrella 4;4;4.7;living room
airthings;Airthings - 23;1;Calle Estrella 4;4;4.7;master bedroom
airthings;Airthings - 24;1;Calle Estrella 4;4;4.7;kitchen
airthings;Airthings - 25;1;Calle Estrella 4;4;4.8;living room
airthings;Airthings - 26;1;Calle Estrella 4;4;4.8;master bedroom
airthings;Airthings - 27;1;Calle Estrella 4;4;4.8;kitchen
airthings;Airthings - 28;1;Calle Estrella 6;4;6.7;living room
airthings;Airthings - 29;1;Calle Estrella 6;4;6.7;master bedroom
airthings;Airthings - 30;1;Calle Estrella 6;4;6.7;kitchen
airthings;Airthings - 31;2;Bronckhost;1;1-01;in the room
airthings;Airthings - 32;2;Bronckhost;1;1-34;in the room
airthings;Airthings - 33;2;Bronckhost;1;1-33;in the room
airthings;Airthings - 34;2;Bronckhost;1;1-32;in the room
airthings;Airthings - 35;2;Bronckhost;1;1-31;in the room
airthings;Airthings - 36;2;Bronckhost;1;1-28;in the room
airthings;Airthings - 37;2;Bronckhost;1;1-27;in the room
airthings;Airthings - 38;2;Bronckhost;1;1-29;in the room
airthings;Airthings - 39;2;Bronckhost;1;1-30;in the room
airthings;Airthings - 40;2;Bronckhost;1;1-26;in the room
airthings;Airthings - 41;2;Bronckhost;1;1-21;in the room
airthings;Airthings - 42;2;Bronckhost;1;1-22;in the room
airthings;Airthings - 43;2;Bronckhost;1;1-23;in the room
airthings;Airthings - 44;2;Bronckhost;1;1-24;in the room
airthings;Airthings - 45;2;Bronckhost;1;1-25;in the room
airthings;Airthings - 46;2;Bronckhost;1;1-16;in the room
airthings;Airthings - 47;2;Bronckhost;1;1-17;in the room
airthings;Airthings - 48;2;Bronckhost;1;1-18;in the room
airthings;Airthings - 49;2;Bronckhost;2;2-8;in the room
airthings;Airthings - 50;2;Bronckhost;2;2-9;in the room
airthings;Airthings - 51;2;Bronckhost;2;2-12;in the room
airthings;Airthings - 52;2;Bronckhost;2;2-15;in the room
airthings;Airthings - 53;2;Bronckhost;2;2-16;in the room
airthings;Airthings - 54;2;Bronckhost;2;2-17;in the room
airthings;Airthings - 55;2;Bronckhost;2;2-19;in the room
airthings;Airthings - 56;2;Emmaus;1;44927;
airthings;Airthings - 57;2;Emmaus;1;44928;
airthings;Airthings - 58;2;Emmaus;1;44929;
airthings;Airthings - 59;2;Emmaus;1;44930;
airthings;Airthings - 60;2;Emmaus;1;44931;
airthings;Airthings - 61;2;Emmaus;1;44932;
airthings;Airthings - 62;2;Emmaus;1;44933;
airthings;Airthings - 63;2;Emmaus;1;44934;
airthings;Airthings - 64;2;Emmaus;0;1.01;
airthings;Airthings - 65;2;Emmaus;0;1.02;
airthings;Airthings - 66;3;VVV Social Shelter;0;;office 1
airthings;Airthings - 67;3;VVV Social Shelter;0;;office 2
airthings;Airthings - 68;3;VVV Social Shelter;0;;living room
airthings;Airthings - 69;3;VVV Social Shelter;0;;living room
airthings;Airthings - 70;3;VVV Social Shelter;0;;living room
airthings;Airthings - 71;3;VVV Social Shelter;0;;living room
airthings;Airthings- 72;3;VVV Social Shelter;0;;reception/lobby
airthings;Airthings - 74;3;VVV Social Shelter;0;;dining room
airthings;Airthings - 75;3;VVV Social Shelter;0;;dining room
airthings;Airthings - 76;3;VVV Social Shelter;0;;kitchen
airthings;Airthings - 77;3;VVV Social Shelter;1;11.1;bedroom
airthings;Airthings - 78;3;VVV Social Shelter;1;11.2;bedroom
airthings;Airthings - 79;3;VVV Social Shelter;1;11;common area
airthings;Airthings - 80;3;VVV Social Shelter;1;12.1;bedroom
airthings;Airthings - 81;3;VVV Social Shelter;1;12.2;bedroom
airthings;Airthings - 82;3;VVV Social Shelter;1;12;common area
airthings;Airthings - 83;3;VVV Social Shelter;1;13.1;bedroom
airthings;Airthings - 84;3;VVV Social Shelter;1;13.2;bedroom
airthings;Airthings - 85;3;VVV Social Shelter;1;13;common area
airthings;Airthings - 86;3;VVV Social Shelter;1;14.1;bedroom
airthings;Airthings - 87;3;VVV Social Shelter;1;14.2;bedroom
airthings;Airthings - 88;3;VVV Social Shelter;1;14.3;bedroom
airthings;Airthings - 89;3;VVV Social Shelter;1;14;common area
uhoo;uHoo-1;1;Calle Estrella 4;1;4.1;living room
uhoo;uHoo-2;1;Calle Estrella 6;1;6.1;living room
uhoo;uHoo-3;1;Calle Estrella 4;2;4.4;living room
uhoo;uHoo-4;1;Calle Estrella 6;2;6.3;living room
uhoo;uHoo-5;1;Calle Estrella 4;3;4.5;living room
uhoo;uHoo-6;1;Calle Estrella 6;3;6.5;living room
uhoo;uHoo-7;1;Calle Estrella 6;3;6.6;living room
uhoo;uHoo-8;1;Calle Estrella 4;4;4.7;living room
uhoo;uHoo-9;1;Calle Estrella 4;4;4.8;living room
uhoo;uHoo-10;1;Calle Estrella 6;4;6.7;living room
uhoo;uHoo-11;2;Bronckhost;1;1.26;in the room
uhoo;uHoo- 12;2;Bronckhost;1;1.27;in the room
uhoo;uHoo - 13;2;Bronckhost;1;1.29;in the room
uhoo;uHoo-14;2;Bronckhost;1;1.3;in the room
uhoo;uHoo - 15;3;VVV Social Shelter;0;;living room
uhoo;uHoo - 16;3;VVV Social Shelter;0;;living room
uhoo;uHoo - 17;3;VVV Social Shelter;1;11.2;bedroom
uhoo;uHoo - 19;3;VVV Social Shelter;1;12.2;bedroom
uhoo;uHoo - 20;3;VVV Social Shelter;1;13.1;bedroom
uhoo;uHoo - 21;3;VVV Social Shelter;1;13.2;bedroom
uhoo;uHoo - 22;3;VVV Social Shelter;1;14.2;bedroom
